epoch,iter,learning_rate,loss,loss_cls,loss_iou,loss_dfl,loss_l1
56,40,0.000861,1.756989,0.961536,0.151966,0.874471,0.336016
57,0,0.000852,1.720909,0.922407,0.152016,0.868031,0.332908
57,20,0.00084,1.683973,0.872394,0.147753,0.864611,0.323955
57,40,0.000829,1.722689,0.949046,0.146878,0.890076,0.319936
58,0,0.000819,1.794804,0.946371,0.156708,0.901596,0.372077
58,20,0.000808,1.744454,0.945297,0.148104,0.903734,0.349131
58,40,0.000796,1.777815,0.948346,0.150432,0.88763,0.362789
59,0,0.000787,1.76929,0.926164,0.147632,0.894271,0.341339
59,20,0.000775,1.65233,0.904065,0.142225,0.843198,0.307828
59,40,0.000764,1.763152,0.925754,0.153135,0.901011,0.356023
60,0,0.000755,1.76832,0.939885,0.160608,0.864311,0.347908
60,20,0.000743,1.757356,0.891163,0.144161,0.895364,0.360172
60,40,0.000732,1.76998,0.935296,0.147241,0.896566,0.336127
61,0,0.000723,1.690918,0.92271,0.144999,0.862595,0.343011
61,20,0.000711,1.705086,0.898981,0.148792,0.842928,0.327735
61,40,0.0007,1.681727,0.922531,0.14434,0.858625,0.301875
62,0,0.000691,1.676148,0.888546,0.143538,0.877907,0.328965
62,20,0.00068,1.672154,0.869151,0.13556,0.858841,0.316981
62,40,0.000669,1.656633,0.866971,0.149307,0.829667,0.307175
63,0,0.00066,1.68414,0.899557,0.147175,0.862376,0.328153
63,20,0.000649,1.712215,0.91217,0.157252,0.877199,0.335505
63,40,0.000638,1.656105,0.894421,0.145424,0.864243,0.326368
64,0,0.000629,1.647021,0.878499,0.14792,0.819974,0.307489
64,20,0.000618,1.649282,0.880995,0.13951,0.830129,0.288103
64,40,0.000607,1.649268,0.861919,0.143046,0.849204,0.303067
65,0,0.000598,1.715851,0.869547,0.15157,0.881789,0.317607
65,20,0.000588,1.654621,0.860928,0.139118,0.845916,0.320723
65,40,0.000577,1.72408,0.895669,0.148698,0.864905,0.32099
66,0,0.000568,1.639318,0.843149,0.143753,0.839725,0.31318
66,20,0.000558,1.629563,0.865183,0.141654,0.857549,0.315194
66,40,0.000547,1.654521,0.862677,0.145901,0.869281,0.346334
67,0,0.000539,1.63839,0.906815,0.137888,0.816944,0.302376
67,20,0.000528,1.653252,0.860035,0.14475,0.854646,0.351492
67,40,0.000518,1.643825,0.839616,0.144621,0.832949,0.31729
68,0,0.00051,1.563874,0.834902,0.137896,0.825893,0.291903
68,20,0.000499,1.63583,0.84909,0.135751,0.828098,0.31474
68,40,0.000489,1.648027,0.826627,0.143206,0.833482,0.307621
69,0,0.000481,1.709287,0.862276,0.154912,0.865129,0.325901
69,20,0.000471,1.659287,0.855398,0.14655,0.875674,0.332999
69,40,0.000461,1.701389,0.857515,0.15369,0.883104,0.326621
70,0,0.000453,1.614329,0.850491,0.140015,0.865764,0.312602
70,20,0.000443,1.611808,0.856769,0.140131,0.854361,0.30807
70,40,0.000434,1.681787,0.878852,0.143459,0.845772,0.29211
71,0,0.000426,1.60044,0.837553,0.131402,0.852011,0.302543
71,20,0.000416,1.659773,0.859918,0.140482,0.882471,0.329656
71,40,0.000407,1.668179,0.829992,0.146324,0.836967,0.30476
72,0,0.000399,1.566325,0.775105,0.130849,0.854802,0.297282
72,20,0.00039,1.620486,0.842084,0.143996,0.855362,0.330126
72,40,0.000381,1.604811,0.825852,0.141189,0.863866,0.332995
73,0,0.000373,1.64907,0.843691,0.136224,0.841124,0.33506
73,20,0.000364,1.65276,0.85426,0.146979,0.836373,0.297865
73,40,0.000355,1.595994,0.825116,0.140313,0.827421,0.289966
74,0,0.000347,1.641042,0.811281,0.15152,0.877383,0.323765
74,20,0.000339,1.690155,0.86321,0.153922,0.878528,0.340239
74,40,0.00033,1.557493,0.81715,0.13,0.832871,0.281119
75,0,0.000323,1.579964,0.834506,0.142814,0.83533,0.320931
75,20,0.000314,1.604851,0.815737,0.146638,0.841545,0.330968
